id,sku,name,brand,category_1,category_2,variant,price,quantity,gtin,image,description,color,size,material,gender,condition,rating_value,rating_count,mpn
TSHIRT-001,TSHIRT-001-RED-M,Classic Vintage Tee,Adidas,Apparel,T-Shirts,Red / M,29.99,50,01234567890123,/images/tshirt-red.jpg,Washed vintage crewneck t-shirt in premium heavy organic cotton. Features a relaxed structured fit with soft retro ribbing.,Red,M,100% Organic Cotton,unisex,new,4.6,312,ADI-VLT-RM
TSHIRT-001,TSHIRT-001-RED-L,Classic Vintage Tee,Adidas,Apparel,T-Shirts,Red / L,29.99,45,01234567890124,/images/tshirt-red.jpg,Washed vintage crewneck t-shirt in premium heavy organic cotton. Features a relaxed structured fit with soft retro ribbing.,Red,L,100% Organic Cotton,unisex,new,4.6,312,ADI-VLT-RL
TSHIRT-001,TSHIRT-001-BLK-M,Classic Vintage Tee,Adidas,Apparel,T-Shirts,Black / M,29.99,30,01234567890125,/images/tshirt-black.jpg,Washed vintage crewneck t-shirt in premium heavy organic cotton. Features a relaxed structured fit with soft retro ribbing.,Black,M,100% Organic Cotton,unisex,new,4.6,312,ADI-VLT-BM
SHIRT-002,SHIRT-002-WHT-M,Linen Button-Up,Uniqlo,Apparel,Shirts,White / M,49.99,35,01234567890126,/images/shirt-white.jpg,"Premium woven linen button-up shirt in a comfortable airy cut. Breathable and cool, perfect for lightweight layering.",White,M,100% Woven Linen,men,new,4.3,267,UNI-LBS-WM
SHIRT-002,SHIRT-002-BLU-L,Linen Button-Up,Uniqlo,Apparel,Shirts,Blue / L,49.99,28,01234567890127,/images/shirt-blue.jpg,"Premium woven linen button-up shirt in a comfortable airy cut. Breathable and cool, perfect for lightweight layering.",Blue,L,100% Woven Linen,men,new,4.3,267,UNI-LBS-BL
HOODIE-003,HOODIE-003-GRY-M,Premium Fleece Hoodie,Champion,Apparel,Sweatshirts,Grey / M,69.99,22,01234567890128,/images/hoodie-grey.jpg,"Heavyweight organic cotton fleece pullover hoodie with double-needle tailoring, cozy front pouch pocket, and retro ribbed hem.",Grey,M,80% Organic Cotton 20% Poly,unisex,new,4.5,403,CHA-PH-GM
HOODIE-003,HOODIE-003-GRY-L,Premium Fleece Hoodie,Champion,Apparel,Sweatshirts,Grey / L,69.99,18,01234567890129,/images/hoodie-grey.jpg,"Heavyweight organic cotton fleece pullover hoodie with double-needle tailoring, cozy front pouch pocket, and retro ribbed hem.",Grey,L,80% Organic Cotton 20% Poly,unisex,new,4.5,403,CHA-PH-GL
HOODIE-003,HOODIE-003-NVY-M,Premium Fleece Hoodie,Champion,Apparel,Sweatshirts,Navy / M,69.99,14,01234567890130,/images/hoodie-navy.jpg,"Heavyweight organic cotton fleece pullover hoodie with double-needle tailoring, cozy front pouch pocket, and retro ribbed hem.",Navy,M,80% Organic Cotton 20% Poly,unisex,new,4.5,403,CHA-PH-NM
JACKET-004,JACKET-004-BLK-M,Classic Bomber Jacket,The North Face,Apparel,Jackets,Black / M,179.99,12,01234567890131,/images/jacket-black.jpg,"Ultra-durable weather-resistant bomber jacket featuring clean geometric quilting, micro-knit ribbed collar, and secure side pockets.",Black,M,Nylon Shell Quilting,unisex,new,4.7,512,TNF-BJ-BM
JACKET-004,JACKET-004-GRN-L,Classic Bomber Jacket,The North Face,Apparel,Jackets,Green / L,179.99,9,01234567890132,/images/jacket-green.jpg,"Ultra-durable weather-resistant bomber jacket featuring clean geometric quilting, micro-knit ribbed collar, and secure side pockets.",Green,L,Nylon Shell Quilting,unisex,new,4.7,512,TNF-BJ-GL
